latitude,longitude,dbscan_cluster,hdbscan_cluster
50.786646,-1.070982,0,72
53.017221,-2.185915,0,64
52.567653,-2.143109,0,83
52.530368,-1.991436,0,83
53.781734,-1.551559,0,121
53.190884,-2.884803,0,79
53.428383,-2.837263,0,-1
53.419601,-2.915682,0,96
51.873105,-2.207821,0,39
53.333868,-2.716913,0,81
51.761818,-0.477619,0,109
51.462087,-0.011546,0,131
52.010488,-0.507676,0,-1
53.266825,-1.354359,0,-1
52.912429,-1.526932,0,94
51.549847,0.071033,0,-1
52.860939,-3.040762,0,-1
51.441229,-0.157124,0,-1
51.537391,0.713073,0,103
52.626763,-1.339852,0,-1
53.006497,-2.123457,0,64
50.857543,-1.774592,0,-1
53.709059,-1.25874,0,-1
53.281507,-2.902228,0,79
52.619152,-1.989366,0,83
55.128433,-6.951758,1,-1
54.967056,-1.486572,0,20
52.419357,-1.830979,0,83
51.638637,-2.999415,0,26
51.52634,-2.570503,0,48
52.273151,-1.893732,0,82
53.685008,-0.442869,0,32
53.449003,-2.987929,0,96
50.381568,-4.88262,0,6
51.976943,-0.18742,0,-1
53.463627,-1.039023,0,-1
51.514229,-0.157062,0,139
52.476149,-2.137146,0,83
53.419139,-1.473211,0,117
54.540786,-1.531318,0,11
52.957894,-1.127516,0,100
51.532541,-0.407179,0,-1
52.496701,-1.787849,0,83
52.446688,-1.93082,0,83
52.562927,-2.069792,0,83
51.370682,-0.461879,0,-1
52.44268,-1.586984,0,86
51.449243,0.000733,0,-1
52.594332,-2.55904,0,-1
53.161293,-2.193882,0,64
51.471961,-0.19148,0,-1
50.369679,-4.116684,0,8
51.443759,-2.595117,0,48
51.609128,-0.480565,0,-1
52.915795,-1.479647,0,94
52.131362,-0.465245,0,61
50.788839,0.319582,0,53
51.07564,-4.060079,0,2
51.315291,-0.61559,0,-1
53.765345,-0.360747,0,32
53.324898,-3.304677,0,31
51.507576,-0.141776,0,139
52.610761,-1.653265,0,-1
51.49443,0.07787,0,128
52.985156,-1.120994,0,100
52.847626,0.735176,0,-1
51.888974,0.931175,0,58
51.500673,-0.382918,0,126
53.801103,-3.019268,0,71
51.739504,0.454178,0,75
52.888093,-1.454997,0,94
53.482811,-1.2305,0,-1
51.584251,-3.429629,0,29
54.5239,-1.557884,0,11
54.315782,-5.711796,1,0
50.96822,-1.362503,0,63
51.879621,0.551115,0,-1
51.69878,-0.425384,0,-1
54.852385,-1.57363,0,-1
53.407062,-2.984535,0,96
51.645172,-0.083765,0,-1
53.405839,-2.988929,0,96
51.380517,0.507937,0,105
51.506569,-0.337017,0,-1
52.575259,-1.881687,0,83
51.460518,-0.224149,0,-1
51.560463,-1.801143,0,22
52.699489,-2.029997,0,83
52.43817,-1.938217,0,83
51.29294,1.106227,0,59
52.523426,-1.465179,0,86
53.553918,-1.480369,0,111
51.222672,-0.585748,0,-1
53.479216,-2.635869,0,-1
50.343488,-4.890672,0,6
51.590531,0.073056,0,-1
51.403614,-0.255914,0,-1
52.477929,1.737704,0,9
50.848556,0.47213,0,54
52.426694,-1.438304,0,86
52.566707,-1.879114,0,83
52.043771,-0.758562,0,60
51.556366,-0.048522,0,-1
50.554968,-3.508547,0,-1
51.559193,0.066841,0,134
51.43981,-3.179577,0,28
53.716679,-1.796859,0,-1
